Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
525588,Bludov,2 504,1 632,1 615,"11,02 %","0,00 %","0,00 %","7,61 %","0,06 %","8,23 %","6,93 %","1,17 %","1,05 %","0,61 %","0,06 %","0,00 %","6,81 %","0,18 %","2,35 %","31,76 %","0,06 %","0,00 %","8,42 %","0,00 %","0,18 %","0,18 %","0,12 %","12,87 %","0,24 %"
525804,Bohdíkov,1 103,640,634,"5,20 %","0,31 %","0,31 %","6,62 %","0,00 %","6,30 %","10,09 %","0,94 %","1,10 %","0,78 %","0,31 %","0,00 %","6,94 %","0,00 %","1,73 %","35,80 %","0,00 %","0,15 %","5,67 %","0,00 %","0,00 %","0,00 %","0,00 %","17,35 %","0,31 %"
525880,Bohuslavice,413,269,267,"2,99 %","0,00 %","0,00 %","6,74 %","0,00 %","4,49 %","9,73 %","0,37 %","0,37 %","2,99 %","0,37 %","0,00 %","6,74 %","0,00 %","1,49 %","37,82 %","0,00 %","0,00 %","13,85 %","0,00 %","0,37 %","0,37 %","0,00 %","11,23 %","0,00 %"
525979,Bohutín,609,379,373,"6,16 %","0,00 %","0,00 %","5,89 %","0,00 %","5,36 %","13,94 %","0,80 %","0,00 %","1,87 %","0,26 %","0,00 %","6,16 %","0,00 %","0,53 %","32,70 %","0,00 %","0,26 %","9,91 %","0,26 %","0,00 %","0,26 %","0,00 %","15,28 %","0,26 %"
526169,Branná,247,136,127,"13,38 %","0,00 %","0,78 %","6,29 %","0,00 %","7,87 %","11,81 %","0,00 %","1,57 %","0,00 %","0,00 %","0,00 %","14,96 %","0,00 %","3,14 %","22,83 %","0,00 %","0,00 %","6,29 %","0,00 %","0,00 %","0,00 %","0,00 %","11,02 %","0,00 %"
569437,Bratrušov,493,312,307,"10,74 %","0,00 %","0,00 %","7,16 %","0,00 %","7,16 %","9,44 %","0,97 %","0,97 %","0,00 %","0,00 %","0,00 %","7,81 %","0,00 %","1,30 %","39,08 %","0,00 %","0,00 %","5,53 %","0,00 %","0,00 %","0,97 %","0,00 %","8,79 %","0,00 %"
530727,Brníčko,525,324,322,"3,41 %","0,00 %","0,00 %","7,45 %","0,31 %","9,00 %","16,14 %","0,62 %","0,31 %","0,31 %","0,00 %","0,62 %","7,76 %","0,00 %","1,86 %","30,12 %","0,00 %","0,00 %","5,90 %","0,31 %","0,62 %","0,00 %","0,31 %","13,97 %","0,93 %"
532894,Bušín,329,218,218,"5,50 %","0,00 %","0,00 %","8,25 %","0,00 %","8,71 %","11,92 %","0,00 %","0,00 %","1,83 %","0,00 %","0,00 %","4,12 %","0,45 %","0,45 %","34,40 %","0,00 %","0,00 %","14,67 %","0,00 %","0,45 %","0,45 %","0,00 %","8,25 %","0,45 %"
533688,Dlouhomilov,394,230,228,"5,70 %","0,43 %","0,00 %","11,84 %","0,00 %","7,89 %","13,15 %","0,87 %","0,00 %","0,43 %","0,00 %","0,00 %","3,94 %","0,43 %","0,87 %","28,94 %","0,00 %","0,00 %","5,70 %","0,00 %","0,87 %","0,00 %","0,00 %","18,85 %","0,00 %"
553379,Dolní Studénky,1 093,755,746,"7,23 %","0,00 %","0,13 %","4,95 %","0,13 %","31,23 %","4,95 %","0,26 %","0,53 %","0,53 %","0,13 %","0,26 %","6,16 %","0,13 %","1,34 %","27,21 %","0,00 %","0,00 %","2,41 %","0,00 %","0,13 %","0,00 %","0,00 %","12,19 %","0,00 %"
